"Class","n = 982 (%)","Specialist (%)","Tertiary (%)","District (%)","Primary (%)","Total (%)"
"Aminoglycosides","72 (7.3)","4.2","72.2","18.1","5.6","100"
"Amphenicols","1 (0.1)","0.0","100.0","0.0","0.0","100"
"Carbapenems","21 (2.1)","38.1","57.1","4.8","0.0","100"
"Cephalosporins","256 (26.1)","15.2","46.5","31.3","7.0","100"
"Glycopeptides","31 (3.2)","22.6","48.4","29.0","0.0","100"
"Lincosamides","4 (0.4)","0.0","50.0","50.0","0.0","100"
"Macrolides","28 (2.9)","3.6","17.9","64.3","14.3","100"
"Nitroimidazoles","203 (20.7)","5.9","53.7","32.5","7.9","100"
"Penicillins","277 (28.2)","4.0","62.1","24.2","9.7","100"
"Quinolones","16 (1.6)","0.0","50.0","25.0","25.0","100"
"Sulphonamides","49 (5.0)","0.0","65.3","28.6","6.1","100"
"Tetracyclines","24 (2.4)","0.0","58.3","37.5","4.2","100"
