Age Group,Admissions,CAI,,HAI,,HBCI,,NIC,
#,%,#,%,#,%,#,%,,
0–29 days,41,4,9.76,24,58.54,0,0.00,13,31.71
1 to 11 months,23,19,82.61,3,13.04,0,0.00,1,4.35
1 to 5 years,45,33,73.33,4,8.89,0,0.00,8,17.78
6 to 10 years,22,16,72.73,0,0.00,0,0.00,6,27.27
11 to 15 years,18,10,55.56,0,0.00,0,0.00,8,44.44
16 to 20 years,39,25,64.10,2,5.13,0,0.00,12,30.77
21 to 25 years,84,60,71.43,3,3.57,0,0.00,21,25.00
26 to 30 years,70,49,70.00,2,2.86,0,0.00,19,27.14
31 to 35 years,76,54,71.05,4,5.26,0,0.00,18,23.68
36 to 40 years,55,33,60.00,2,3.64,0,0.00,20,36.36
41 to 45 years,39,23,58.97,1,2.56,0,0.00,15,38.46
46 to 50 years,35,24,68.57,1,2.86,0,0.00,10,28.57
51 to 55 years,28,15,53.57,0,0.00,0,0.00,13,46.43
56 to 60 years,25,15,60.00,0,0.00,0,0.00,10,40.00
61 to 65 years,18,8,44.44,3,16.67,1,5.56,6,33.33
66 and above,93,51,54.84,11,11.83,2,2.15,29,31.18
Total,711,439,61.74,60,8.44,3,0.42,209,29.40
