Census District,total_population,population_needing_reassign,population_accounted_for,pct_population_accounted_for
Central Kgalagadi Game Reserve,956,956,0,0.0
Kgatleng,297300,173932,123368,0.4149613185334679
Ngamiland Delta,5736,3354,2382,0.41527196652719667
Central Mahalapye,311102,71414,239688,0.7704482774138386
Ghanzi,90543,18537,72006,0.7952685464364998
Kweneng West,114748,20997,93751,0.8170164185868163
Gaborone,244250,22575,221675,0.9075742067553736
Kgalagadi North,44981,3910,41071,0.9130744091949935
Barolong,116182,9830,106352,0.9153913687146029
Ngamiland West,148218,12346,135872,0.9167037741704787
Ngwaketse West,46519,3651,42868,0.9215159397235538
Kgalagadi South,68855,4920,63935,0.9285454941543824
Ngamiland East,241165,16754,224411,0.9305288910082309
Central Bobonong,152219,10084,142135,0.9337533422240325
Ngwaketse,274061,18014,256047,0.9342701077497345
Chobe,57381,3500,53881,0.9390041999965145
Francistown,99096,5573,93523,0.9437616049083717
North East,137660,7709,129951,0.943999709429028
Central Boteti,148735,7967,140768,0.9464349346152553
Central Serowe/ Palapye,402921,19380,383541,0.9519012411862375
Central Tutume,312383,13914,298469,0.9554585236712625
South East,222820,8759,214061,0.9606902432456691
Kweneng East,638644,23791,614853,0.9627476340496427
Selibe Phikwe,39611,603,39008,0.9847769558960895
Orapa,7122,0,7122,1.0
Jwaneng,18065,0,18065,1.0
Lobatse,28711,0,28711,1.0
Central Kalahari Game Reserve,488,0,488,1.0
Sowa,2914,0,2914,1.0
