Census District,total_rows,rows_needing_reassign,good_rows,pct_rows_accounted_for
Central Kgalagadi Game Reserve,12,12,0,0.0
Central Boteti,593,561,32,0.05396290050590219
Ghanzi,582,546,36,0.061855670103092786
Central Bobonong,464,431,33,0.07112068965517242
South East,137,127,10,0.072992700729927
Kweneng West,601,552,49,0.08153078202995008
Central Serowe/ Palapye,1011,924,87,0.08605341246290801
Ngamiland East,437,395,42,0.09610983981693363
Kgatleng,350,313,37,0.10571428571428572
Ngwaketse,459,410,49,0.10675381263616558
Central Mahalapye,598,523,75,0.1254180602006689
Ngwaketse West,260,227,33,0.12692307692307692
Kgalagadi South,272,233,39,0.14338235294117646
Ngamiland Delta,55,47,8,0.14545454545454545
Kweneng East,434,370,64,0.14746543778801843
Central Tutume,546,462,84,0.15384615384615385
Chobe,140,117,23,0.16428571428571428
Kgalagadi North,148,123,25,0.16891891891891891
Ngamiland West,347,284,63,0.18155619596541786
North East,274,192,82,0.29927007299270075
Barolong,289,195,94,0.32525951557093424
Selibe Phikwe,28,8,20,0.7142857142857143
Gaborone,132,23,109,0.8257575757575758
Francistown,57,4,53,0.9298245614035088
Jwaneng,11,0,11,1.0
Central Kalahari Game Reserve,1,0,1,1.0
Orapa,7,0,7,1.0
Lobatse,12,0,12,1.0
Sowa,5,0,5,1.0
