DistrictName,AgeGroup,Population,DistrictCode
Barolong,<1,1276,11
Barolong,1–5,7091,11
Barolong,6–10,7138,11
Barolong,11–15,6068,11
Barolong,16–20,4478,11
Barolong,21–25,3691,11
Barolong,26–30,3920,11
Barolong,31–35,3660,11
Barolong,36–40,3891,11
Barolong,41–45,3447,11
Barolong,46–50,3029,11
Barolong,51–55,2479,11
Barolong,56–60,2229,11
Barolong,61–65,2078,11
Barolong,66+,4602,11
CKGR,<1,13,73
CKGR,1–5,54,73
CKGR,6–10,42,73
CKGR,11–15,31,73
CKGR,16–20,32,73
CKGR,21–25,85,73
CKGR,26–30,114,73
CKGR,31–35,147,73
CKGR,36–40,150,73
CKGR,41–45,104,73
CKGR,46–50,68,73
CKGR,51–55,41,73
CKGR,56–60,28,73
CKGR,61–65,13,73
CKGR,66+,27,73
Central Bobonong,<1,1820,52
Central Bobonong,1–5,10059,52
Central Bobonong,6–10,9588,52
Central Bobonong,11–15,8155,52
Central Bobonong,16–20,5819,52
Central Bobonong,21–25,4755,52
Central Bobonong,26–30,5233,52
Central Bobonong,31–35,4791,52
Central Bobonong,36–40,5268,52
Central Bobonong,41–45,4406,52
Central Bobonong,46–50,3683,52
Central Bobonong,51–55,2941,52
Central Bobonong,56–60,2636,52
Central Bobonong,61–65,2543,52
Central Bobonong,66+,5827,52
Central Boteti,<1,1797,53
Central Boteti,1–5,10065,53
Central Boteti,6–10,9437,53
Central Boteti,11–15,7621,53
Central Boteti,16–20,6152,53
Central Boteti,21–25,5922,53
Central Boteti,26–30,6904,53
Central Boteti,31–35,6523,53
Central Boteti,36–40,6432,53
Central Boteti,41–45,4682,53
Central Boteti,46–50,3182,53
Central Boteti,51–55,2345,53
Central Boteti,56–60,2050,53
Central Boteti,61–65,1664,53
Central Boteti,66+,3601,53
Central Madinare,<1,2080,56
Central Madinare,1–5,11733,56
Central Madinare,6–10,11460,56
Central Madinare,11–15,10209,56
Central Madinare,16–20,8211,56
Central Madinare,21–25,7843,56
Central Madinare,26–30,8237,56
Central Madinare,31–35,7883,56
Central Madinare,36–40,8147,56
Central Madinare,41–45,6224,56
Central Madinare,46–50,4934,56
Central Madinare,51–55,3654,56
Central Madinare,56–60,3019,56
Central Madinare,61–65,2892,56
Central Madinare,66+,6356,56
Central Mahalapye,<1,2943,51
Central Mahalapye,1–5,16491,51
Central Mahalapye,6–10,15750,51
Central Mahalapye,11–15,13790,51
Central Mahalapye,16–20,9972,51
Central Mahalapye,21–25,8171,51
Central Mahalapye,26–30,8476,51
Central Mahalapye,31–35,8758,51
Central Mahalapye,36–40,9093,51
Central Mahalapye,41–45,7727,51
Central Mahalapye,46–50,6258,51
Central Mahalapye,51–55,5388,51
Central Mahalapye,56–60,4725,51
Central Mahalapye,61–65,4477,51
Central Mahalapye,66+,9858,51
Central Molalatau,<1,1778,55
Central Molalatau,1–5,10028,55
Central Molalatau,6–10,9777,55
Central Molalatau,11–15,8627,55
Central Molalatau,16–20,6649,55
Central Molalatau,21–25,5436,55
Central Molalatau,26–30,5520,55
Central Molalatau,31–35,5410,55
Central Molalatau,36–40,5650,55
Central Molalatau,41–45,4878,55
Central Molalatau,46–50,3902,55
Central Molalatau,51–55,2967,55
Central Molalatau,56–60,2504,55
Central Molalatau,61–65,2225,55
Central Molalatau,66+,4917,55
Central Serowe-Palapye,<1,2036,50
Central Serowe-Palapye,1–5,11446,50
Central Serowe-Palapye,6–10,10768,50
Central Serowe-Palapye,11–15,9689,50
Central Serowe-Palapye,16–20,8000,50
Central Serowe-Palapye,21–25,6498,50
Central Serowe-Palapye,26–30,6845,50
Central Serowe-Palapye,31–35,6370,50
Central Serowe-Palapye,36–40,6485,50
Central Serowe-Palapye,41–45,5671,50
Central Serowe-Palapye,46–50,4449,50
Central Serowe-Palapye,51–55,3599,50
Central Serowe-Palapye,56–60,2987,50
Central Serowe-Palapye,61–65,2847,50
Central Serowe-Palapye,66+,6562,50
Central Tutume,<1,1970,54
Central Tutume,1–5,11162,54
Central Tutume,6–10,10980,54
Central Tutume,11–15,10029,54
Central Tutume,16–20,6627,54
Central Tutume,21–25,5457,54
Central Tutume,26–30,5770,54
Central Tutume,31–35,5491,54
Central Tutume,36–40,5551,54
Central Tutume,41–45,4217,54
Central Tutume,46–50,3474,54
Central Tutume,51–55,2912,54
Central Tutume,56–60,2739,54
Central Tutume,61–65,2637,54
Central Tutume,66+,6773,54
Chobe,<1,833,80
Chobe,1–5,4431,80
Chobe,6–10,4112,80
Chobe,11–15,3463,80
Chobe,16–20,3356,80
Chobe,21–25,3559,80
Chobe,26–30,3927,80
Chobe,31–35,3770,80
Chobe,36–40,2988,80
Chobe,41–45,2267,80
Chobe,46–50,1703,80
Chobe,51–55,1282,80
Chobe,56–60,1074,80
Chobe,61–65,615,80
Chobe,66+,1108,80
Francistown,<1,2060,2
Francistown,1–5,10276,2
Francistown,6–10,10214,2
Francistown,11–15,9378,2
Francistown,16–20,9604,2
Francistown,21–25,9802,2
Francistown,26–30,10143,2
Francistown,31–35,10015,2
Francistown,36–40,9842,2
Francistown,41–45,7205,2
Francistown,46–50,4834,2
Francistown,51–55,3395,2
Francistown,56–60,2339,2
Francistown,61–65,1689,2
Francistown,66+,2489,2
Gaborone,<1,3473,1
Gaborone,1–5,18667,1
Gaborone,6–10,19306,1
Gaborone,11–15,17987,1
Gaborone,16–20,24125,1
Gaborone,21–25,28132,1
Gaborone,26–30,26273,1
Gaborone,31–35,24073,1
Gaborone,36–40,23815,1
Gaborone,41–45,19318,1
Gaborone,46–50,14282,1
Gaborone,51–55,9935,1
Gaborone,56–60,6560,1
Gaborone,61–65,4189,1
Gaborone,66+,5171,1
Ghanzi,<1,574,72
Ghanzi,1–5,2967,72
Ghanzi,6–10,2751,72
Ghanzi,11–15,2177,72
Ghanzi,16–20,1881,72
Ghanzi,21–25,2696,72
Ghanzi,26–30,3241,72
Ghanzi,31–35,3025,72
Ghanzi,36–40,2762,72
Ghanzi,41–45,1990,72
Ghanzi,46–50,1501,72
Ghanzi,51–55,1012,72
Ghanzi,56–60,751,72
Ghanzi,61–65,508,72
Ghanzi,66+,871,72
Ghanzi Farms,<1,20,74
Ghanzi Farms,1–5,111,74
Ghanzi Farms,6–10,66,74
Ghanzi Farms,11–15,51,74
Ghanzi Farms,16–20,79,74
Ghanzi Farms,21–25,152,74
Ghanzi Farms,26–30,261,74
Ghanzi Farms,31–35,240,74
Ghanzi Farms,36–40,279,74
Ghanzi Farms,41–45,182,74
Ghanzi Farms,46–50,148,74
Ghanzi Farms,51–55,83,74
Ghanzi Farms,56–60,67,74
Ghanzi Farms,61–65,57,74
Ghanzi Farms,66+,123,74
Jwaneng,<1,279,6
Jwaneng,1–5,1554,6
Jwaneng,6–10,1849,6
Jwaneng,11–15,1620,6
Jwaneng,16–20,1229,6
Jwaneng,21–25,1451,6
Jwaneng,26–30,1806,6
Jwaneng,31–35,2033,6
Jwaneng,36–40,2416,6
Jwaneng,41–45,1860,6
Jwaneng,46–50,1168,6
Jwaneng,51–55,808,6
Jwaneng,56–60,395,6
Jwaneng,61–65,160,6
Jwaneng,66+,162,6
Kasane,<1,9,81
Kasane,1–5,36,81
Kasane,6–10,47,81
Kasane,11–15,36,81
Kasane,16–20,38,81
Kasane,21–25,35,81
Kasane,26–30,46,81
Kasane,31–35,46,81
Kasane,36–40,43,81
Kasane,41–45,39,81
Kasane,46–50,23,81
Kasane,51–55,24,81
Kasane,56–60,21,81
Kasane,61–65,10,81
Kasane,66+,33,81
Kgalagadi North,<1,2174,71
Kgalagadi North,1–5,11546,71
Kgalagadi North,6–10,9619,71
Kgalagadi North,11–15,7912,71
Kgalagadi North,16–20,6128,71
Kgalagadi North,21–25,5405,71
Kgalagadi North,26–30,6054,71
Kgalagadi North,31–35,5144,71
Kgalagadi North,36–40,5088,71
Kgalagadi North,41–45,3767,71
Kgalagadi North,46–50,2794,71
Kgalagadi North,51–55,2063,71
Kgalagadi North,56–60,1818,71
Kgalagadi North,61–65,1431,71
Kgalagadi North,66+,3887,71
Kgalagadi Rural,<1,728,90
Kgalagadi Rural,1–5,4348,90
Kgalagadi Rural,6–10,4024,90
Kgalagadi Rural,11–15,3557,90
Kgalagadi Rural,16–20,2994,90
Kgalagadi Rural,21–25,2578,90
Kgalagadi Rural,26–30,2826,90
