Health District,District Hospital,Primary Hospital,Referral Hospital,Total Discharges Alive,Percent of Total Discharges
Francistown,2052,0,13770,15822,18.9
Kweneng East,5087,1027,5184,11298,13.5
Gaborone,0,0,9617,9617,11.5
Serowe,5472,0,0,5472,6.5
Mahalapye,0,5428,0,5428,6.5
Lobatse,4024,0,0,4024,4.8
Southern,3936,0,0,3936,4.7
Kgatleng,3141,0,0,3141,3.8
Selebi-Phikwe,2984,0,0,2984,3.6
Tutume,0,2959,0,2959,3.5
Bobirwa,0,2728,0,2728,3.3
Ghanzi,0,2668,0,2668,3.2
Ngamiland,2334,0,0,2334,2.8
South East,1980,0,0,1980,2.4
Boteti,0,1802,0,1802,2.2
Palapye,0,1724,0,1724,2.1
Chobe,0,1515,0,1515,1.8
Goodhope,0,1006,0,1006,1.2
Okavango,0,993,0,993,1.2
Kgalagadi South,0,869,0,869,1.0
North East,0,814,0,814,1.0
Kgalagadi North,0,613,0,613,0.7
