Health District,District Hospital,Primary Hospital,Referral Hospital,Total Discharges Alive,Percent of Total Discharges,Alive Discharge Share,Estimated Admissions 2021,Estimated Daily Admissions
Francistown,2052,0,13770,15822,18.9,0.1889712995807804,29721.594969364724,81.429027313328
Kweneng East,5087,1027,5184,11298,13.5,0.13493855028843743,21223.270127915726,58.145945555933494
Gaborone,0,0,9617,9617,11.5,0.11486139477110131,18065.515030993585,49.494561728749545
Serowe,5472,0,0,5472,6.5,0.06535526174352359,10279.140922283133,28.16202992406338
Mahalapye,0,5428,0,5428,6.5,0.06482974428798356,10196.487011358342,27.935580853036555
Lobatse,4024,0,0,4024,4.8,0.04806096002484264,7559.075853667276,20.7097968593624
Southern,3936,0,0,3936,4.7,0.047009925113762584,7393.768031817693,20.256898717308747
Kgatleng,3141,0,0,3141,3.8,0.03751478017843706,5900.362141244759,16.165375729437695
Selebi-Phikwe,2984,0,0,2984,3.6,0.03563963834844196,5605.4379590813,15.357364271455616
Tutume,0,2959,0,2959,3.5,0.03534104888506694,5558.475509692214,15.22870002655401
Bobirwa,0,2728,0,2728,3.3,0.03258208224348179,5124.54247733706,14.039842403663178
Ghanzi,0,2668,0,2668,3.2,0.03186546753138175,5011.832598803254,13.731048215899326
Ngamiland,2334,0,0,2334,2.8,0.027876312300691534,4384.4142749650655,12.012093904013877
South East,1980,0,0,1980,2.4,0.0236482854993013,3719.425991615608,10.190208196207145
Boteti,0,1802,0,1802,2.2,0.021522328520071184,3385.053351965316,9.274118772507714
Palapye,0,1724,0,1724,2.1,0.02059072939434113,3238.5305098713675,8.872686328414705
Chobe,0,1515,0,1515,1.8,0.018094521480525996,2845.9244329786093,7.797053241037285
Goodhope,0,1006,0,1006,1.2,0.01201524000621066,1889.768963416819,5.1774492148406
Okavango,0,993,0,993,1.2,0.011859973485255653,1865.3484897344943,5.110543807491765
Kgalagadi South,0,869,0,869,1.0,0.010378969746915571,1632.414740764628,4.472369152779803
North East,0,814,0,814,1.0,0.009722072927490534,1529.0973521086387,4.189307813996271
Kgalagadi North,0,613,0,613,0.7,0.007321413641955403,1151.5192590203876,3.154847284987363
