Product Code,Class,Product Description,Unit of Issue,Program,Category,VEN,Unit Price (BWP),Current stock 11032026,Average Monthly Consumption (2025-26) AMC,Months Of Stock,Average Monthly Consumption (2026-27 AMC,Months Of Stock.1,Qty on order, Procurement Comments
AMO003,200,"Amoxycillin 25mg/ml powder for Mixture, 100ml",Bottle,Anti-Infectives,DRUG,E,10.09549795361528,0,19560,0.0,50000,0.0,,
AMO004,200,"Amoxicillin + Clavulanic Acid (25 + 6.25)mg/ml Suspension, 100ml",Bottle,Anti-Infectives,DRUG,E,17.598908594815825,0,8000,0.0,8000,0.0,,
AMO008,200,"Amoxicillin + Clavulanic Acid (50 + 12.5)mg/ml Suspension, 100ml",Bottle,Anti-Infectives,DRUG,E,23.055934515688946,0,1000,0.0,6000,0.0,,
CEF011,200,"Cefuroxime 125mg/5ml Suspension, 100ml",Bottle,Anti-Infectives,DRUG,E,62.1,7200,1000,7.2,5000,1.44,,
CLO004,200,"Clotrimazole 1% Cream, 20g",Tube,Anti-Infectives,DRUG,E,6.684856753069576,15245,20000,0.76225,30000,0.5081666666666667,,
CLO006,200,"Clotrimazole 100mg Pessaries, 6's (with Applicators)",Pack,Anti-Infectives,DRUG,E,20.812320000000003,0,10000,0.0,10000,0.0,,
CLO007,200,"Clotrimazole 10mg/G Vaginal cream, 50g (with Applicators)",Tube,Anti-Infectives,DRUG,E,26.7440119760479,0,2700,0.0,2700,0.0,,
CLO010,200,"Cloxacillin 25mg/ml Powder for Mixture, 100ml",Bottle,Anti-Infectives,DRUG,V,47.748976807639835,0,3500,0.0,6000,0.0,,
COT003,200,"Co-Trimoxazole (40+8)mg/ml Mixture, 100ml",Bottle,Anti-Infectives,DRUG,V,10.830860534124628,0,8000,0.0,8000,0.0,,
ERY002,200,"Erythromycin 25mg/ml Powder for Mixture, 100ml",Bottle,Anti-Infectives,DRUG,V,27.666,0,5800,0.0,6000,0.0,,
MET019,200,"Metronidazole 40mg/ml Mixture, 100ml",Bottle,Anti-Infectives,DRUG,E,8.049113233287857,879,2500,0.3516,6000,0.1465,,
MIC001,200,"Miconazole 20mg/ml Oral Gel, 30 - 40g",Tube,Anti-Infectives,DRUG,E,26.603001364256478,5269,2800,1.8817857142857144,6200,0.8498387096774194,,
NAL002,200,"Nalidixic Acid 60mg/ml Mixture, 100ml",Bottle,Anti-Infectives,DRUG,E,103.27421555252387,0,1240,0.0,1700,0.0,,
NIT004,200,"Nitrofurazone 0.2% ointment, 500g",Jar,Anti-Infectives,DRUG,N,271.32,425,174,2.442528735632184,400,1.0625,,
NYS001,200,"Nystatin 100,000IU/ml Powder for Mixture, 20ml ",Bottle,Anti-Infectives,DRUG,E,21.369760479041915,6307,3600,1.7519444444444445,6000,1.0511666666666666,,
PEN005,200,"Penicillin Phenoxymethyl 25mg/ml Powder for Mixture, 100ml",Bottle,Anti-Infectives,DRUG,E,58.90207715133531,13432,4000,3.358,8000,1.679,,
POV001,200,"Povidone Iodine 10% Ointment, 25g",Tube,Anti-Infectives,DRUG,E,16.37107776261937,0,6200,0.0,10000,0.0,,
SIL024,200,"Silver sulphadiazine 1% cream, 50g",Tube,Anti-Infectives,DRUG,V,22.10095497953615,6025,1432,4.207402234636872,2000,3.0125,,
ACY001,300,"Acyclovir 200mg Tablets, 25's",Pack ,Anti-Infectives,DRUG,V,24.3937125748503,0,1000,0.0,1000,0.0,,
ACY006,300,"Acyclovir 400mg Tablets, 100's",Pack,Anti-Infectives,DRUG,V,116.91678035470669,0,630,0.0,630,0.0,,
