,source_name
972228-1,Airstrip Clinic
688812-7,Mabeleapudi Clinic
513809-4,Mabele Health Post
407358-1,Mababe Health Post
147856-9,Maape Health Post
221102-7,Lotsane Senior School Clinic
732770-3,Lotsane Clinic 
702756-8,Lotlhakane West Clinic
795021-5,Lotlhakane East  Clinic
172824-5,Lorwana Clinic
377840-4,Lorolwane Health Post
974945-8,Loologane Health Post 
560691-8,Lokgwabe Health Post
438206-5,Letsholathebe II Memorial District Hospital
981309-8,Letsholathebe Health Post
206797-3,Letoreng Health Post
193195-5,Mabeleng Health Post
802273-3,Mabesekwa Health Post
170913-8,Mabolwe Health Post
870308-4,Mabudzane Health  Post
103328-1,Mahalapye District Hospital
608860-3,Magotlhwane Health Post
584792-6,Magoriapitse Health Post
728666-9,Magokotswane  Health Post
221119-1,Magapatona Clinic
811879-6,Mafitlhakgosi Clinic
218345-7,Mafhungo/Hubona
265991-0,Letlhakeng Clinic
518039-3,Mafhikana Clinic
219564-2,Madiba Senior Secondary School Clinic
719032-5,Madiba Health Post
867922-7,Machaneng Clinic 
791197-7,Mabutsane Clinic
334207-8,Letlhakane Clinic
162465-9,Mabuo Health Post
894895-2,Mabule Clinic
512171-0,Madisakwane Health Post
687486-1,Mahalapye Prisons Clinic
609192-0,Letlhakane Primary Hospital
773237-3,Lesoma Health Post
154328-9,Lecheng Clinic
453145-5,Lapologang Clinic
356568-6,Kweneng Health  Post
286718-2,Kwando BDF Health Post
466505-5,Kutamogoree Health Post
941893-0,Kumakwane Health Post
329309-9,Kuke Health Post
338699-2,Kudumatse Health Post
810131-3,Kubung Health Post
361071-4,Kubung 
845952-1,Kotolaname Health Post
236213-5,Kopong Clinic
146444-5,Komana Health Post
669638-9,Kolonkwaneng Health Post
273439-0,Kole Clinic
706329-0,Leetile Health Post
972813-0,Lefhoko Health Post
751937-4,Lehututu Health Post
219004-9,Lejwana Health Post
793680-0,Lesole Clinic
749268-9,Lesirane Clinic
943097-6,Lesilakgokong
361644-8,Leshibitse Health Post
481757-3,Lesetlhana Clinic
1078910-5,Lesenepole(Matolwane) Health Post
193948-7,Lerala Clinic
178647-4,Leporung Health Post
493151-5,Lephepe Clinic
409920-6,Lepashe Health Post
945939-7,Lenyanti BDF Health Post
391399-3,Lentsweletau Clinic
854774-7,Lentswelemoriti Health Post
933244-6,Lekgwapeng Health  Post
747272-3,Lekgolobotlo Health Post
811002-5,Lepokole Health Post
938343-1,Kokotsha Health Post
763910-7,Mahetlwe Health Post
431094-2,Mahotshwane Health Post
609449-4,Maun BDF Clinic
445141-5,Maubelo Health Post
832743-9,Matsitama Health Post
440145-1,Matshwane Clinic
243426-4,Matshelagabedi Clinic
991577-8,Matsaudi Health Post
510551-5,Matopi Health Post
308621-2,Matobo Health Post
172273-5,Matlhakola Health Post
262687-7,Matlhako Health Post
288910-3,Matlapana Health Post
356146-1,Mathathane Clinic
798235-8,Mathangwane Clinic 
495949-0,Matenge Health Post
178427-1,Matebele Health Post
539949-8,Maun Clinic
393559-0,Maun General Clinic
853367-1,Maun Prison Clinic
843198-3,Maunatlala Clinic
180732-0,Mmaphashalala Health Post
357664-2,Mmanoko Health Post
646833-4,Mmamokhasi Clinic
515196-4,Mmakgori Health Post
488869-9,Mmadinare Primary Hospital
885823-5,Mmadikola  Health Post
352619-1,Middlepits Clinic 
625958-4,Masunga Primary  Hospital
458120-3,Mhalapitsa Health Post
958721-3,Metsimaswaane
233523-0,Metsimantsho Health Post
331961-3,Metsibotlhoko Health Post
828861-5,Metlojane Health Post
227847-1,Metlobo Clinic
757774-5,Medie Health Post
201391-0,Mbalambi Health Post
388278-4,Metsimotlhabe Clinic
914848-7,Mahlaku Lekganyane Clinic
957417-9,Masunga Clinic
384465-1,Masingwaneng Health Post
889396-8,Malaka Health Post
785760-0,Makwate Health post
211721-6,Makuta Health Post
385056-7,Makunda Health Post
1019252-4,Makopong Clinic 
849220-9,Makgophana Health Post
349554-6,Make Health Post
282980-2,Makaleng Clinic
758776-9,Makalamabedi Clinic
490782-0,Makakung Health Post
653316-0,Makakatlela  Clinic
636538-1,Majwaneng Health Post
810456-4,Majwana-a-dipitse Health Post
713820-9,Majaalela Health Post
125795-5,Maitengwe Clinic
557244-1,Malatswai Health Post
1004633-2,Maleshe Health Post
121018-6,Malolwane  Clinic
724416-3,Malotwana Health Post
743567-0,Masego Clinic
842802-1,Marobela Health Post
765841-2,Marapong Clinic
784733-8,Maralaleng Health Post
522018-1,Maposa Health Post
388754-4,Mapoka Clinic
274913-3,Manyanda Health Post
360176-2,Masukwane Health Post
275295-4,Manyana Clinic
863362-0,Mantshwabisi Health Post
894684-0,Mankgodi Clinic
647844-0,Manga Clinic
176666-6,Mandunyane Health Post
263484-8,Manaledi Health Post
573363-9,Mambo Health Post
741948-4,Malwelwe Health Post
272084-5,Manxotai Health Post
117734-4,Kokong Clinic
912739-0,Kodibeleng Health Post
414241-0,Kisa Health Post
702688-3,Etsha 13 Clinic
405411-0,Etsha 1 Health Post
240358-2,Eretsha Health Post
595918-4,Ebrahim & Marriam Dada Clinic
431261-7,East Hanahai Health Post
961057-7,EU 7  Clinic
965513-5,Dzoroga Health Post
956424-6,Dutlwe Health Post
658384-3,Dukwi Clinic
893812-8,Draihoek Health Post
215930-9,Donga Clinic
936820-0,Ditshukudu Health  Post
952729-2,Ditshegwane Clinic
399845-7,Ditlharapa Health Post
301537-7,Disaneng Clinic
440231-9,Etsha 6 Clinic
809716-4,Extension 14 Clinic
256008-4,Extension 15  Clinic
671504-9,Extension II  Clinic
292794-5,Gasita Clinic
154674-6,Gantsi Senior School Clinic
998774-4,Gantsi Primary Hospital
390050-3,Gantsi Clinic
826832-8,Gamodubu Health Post
704753-3,Gambule Health Post
139849-4,Gakuto Health Post
