iteration,total_unmet,total_demand,pct_unmet
0,0,3161,0.0
1,0,3851,0.0
2,0,2770,0.0
3,0,4045,0.0
4,0,3105,0.0
5,0,3519,0.0
6,0,3696,0.0
7,0,4657,0.0
8,0,2934,0.0
9,0,3428,0.0
10,0,3297,0.0
11,0,3559,0.0
12,0,3636,0.0
13,0,3193,0.0
14,0,2986,0.0
15,0,3634,0.0
16,0,3094,0.0
17,0,3950,0.0
18,0,3735,0.0
19,0,3925,0.0
20,0,4154,0.0
21,0,3291,0.0
22,0,3999,0.0
23,0,2974,0.0
24,0,2975,0.0
25,0,2679,0.0
26,0,3469,0.0
27,0,2841,0.0
28,0,3437,0.0
29,0,3763,0.0
30,0,3805,0.0
31,0,3133,0.0
32,0,3741,0.0
33,0,4568,0.0
34,0,3493,0.0
35,0,3369,0.0
36,0,4311,0.0
37,0,2592,0.0
38,0,3451,0.0
39,0,4135,0.0
40,0,3620,0.0
41,0,3930,0.0
42,0,3656,0.0
43,0,3816,0.0
44,0,3834,0.0
45,0,4485,0.0
46,0,2855,0.0
47,0,3794,0.0
48,0,2785,0.0
49,0,4147,0.0
50,0,5253,0.0
51,0,3469,0.0
52,0,3126,0.0
53,0,3079,0.0
54,0,2759,0.0
55,0,4546,0.0
56,0,3689,0.0
57,0,3291,0.0
58,0,2986,0.0
59,0,3881,0.0
60,0,4496,0.0
61,0,4102,0.0
62,0,3672,0.0
63,0,2960,0.0
64,0,3628,0.0
65,0,3321,0.0
66,0,3242,0.0
67,0,3102,0.0
68,0,3759,0.0
69,0,3090,0.0
70,0,3107,0.0
71,0,2947,0.0
72,0,4244,0.0
73,0,3421,0.0
74,0,2787,0.0
75,0,3445,0.0
76,0,3300,0.0
77,0,2814,0.0
78,0,3103,0.0
79,0,3596,0.0
80,0,3603,0.0
81,0,3297,0.0
82,0,2997,0.0
83,0,3964,0.0
84,0,3434,0.0
85,0,4155,0.0
86,0,3175,0.0
87,0,2531,0.0
88,0,3339,0.0
89,0,3802,0.0
90,0,3357,0.0
91,0,3417,0.0
92,0,3841,0.0
93,0,3442,0.0
94,0,3162,0.0
95,0,2531,0.0
96,0,3366,0.0
97,0,3596,0.0
98,0,3450,0.0
99,0,2984,0.0
100,0,3950,0.0
101,0,2647,0.0
102,0,3820,0.0
103,0,3699,0.0
104,0,3751,0.0
105,0,3788,0.0
106,0,4118,0.0
107,0,4153,0.0
108,0,2722,0.0
109,0,2909,0.0
110,0,4074,0.0
111,0,2928,0.0
112,0,4315,0.0
113,0,3147,0.0
114,0,3876,0.0
115,0,3541,0.0
116,0,4491,0.0
117,0,3069,0.0
118,0,2892,0.0
119,0,3437,0.0
120,0,4087,0.0
121,0,3447,0.0
122,0,3467,0.0
123,0,3205,0.0
124,0,4596,0.0
125,0,4128,0.0
126,0,4137,0.0
127,0,3586,0.0
128,0,3329,0.0
129,0,4159,0.0
130,0,3503,0.0
131,0,2838,0.0
132,0,3214,0.0
133,0,3410,0.0
134,0,3349,0.0
135,0,4056,0.0
136,0,3731,0.0
137,0,2881,0.0
138,0,3363,0.0
139,0,2770,0.0
140,0,3997,0.0
141,0,3211,0.0
142,0,3186,0.0
143,0,3006,0.0
144,0,3160,0.0
145,0,3577,0.0
146,0,3562,0.0
147,0,3952,0.0
148,0,4063,0.0
149,0,3469,0.0
150,0,3469,0.0
151,0,3619,0.0
152,0,3064,0.0
153,0,3651,0.0
154,0,2581,0.0
155,0,4011,0.0
156,0,3450,0.0
157,0,4202,0.0
158,0,3859,0.0
159,0,3946,0.0
160,0,3403,0.0
161,0,4068,0.0
162,0,4128,0.0
163,0,3634,0.0
164,0,2957,0.0
165,0,4000,0.0
166,0,3640,0.0
167,0,3977,0.0
168,0,3084,0.0
169,0,3475,0.0
170,0,2839,0.0
171,0,4527,0.0
172,0,3268,0.0
173,0,2709,0.0
174,0,3829,0.0
175,0,3859,0.0
176,0,2908,0.0
177,0,2722,0.0
178,0,3347,0.0
179,0,3020,0.0
180,0,3515,0.0
181,0,3758,0.0
182,0,3580,0.0
183,0,2971,0.0
184,0,3623,0.0
185,0,2804,0.0
186,0,2983,0.0
187,0,2867,0.0
188,0,3132,0.0
189,0,3048,0.0
190,0,3460,0.0
191,0,3077,0.0
192,0,3866,0.0
193,0,2929,0.0
194,0,3316,0.0
195,0,4683,0.0
196,0,3174,0.0
197,0,3606,0.0
198,0,3882,0.0
199,0,3550,0.0
