iteration,total_unmet,total_demand,pct_unmet
0,1050,3161,33.217336285985446
1,1536,3851,39.885743962607116
2,874,2770,31.55234657039711
3,1767,4045,43.683559950556244
4,1137,3105,36.6183574879227
5,1201,3519,34.129013924410344
6,1397,3696,37.797619047619044
7,2034,4657,43.67618638608546
8,821,2934,27.982276755282893
9,1528,3428,44.574095682613766
10,1236,3297,37.48862602365787
11,1233,3559,34.644563079516715
12,1462,3636,40.20902090209021
13,1091,3193,34.168493579705604
14,985,2986,32.98727394507703
15,1623,3634,44.661529994496426
16,1034,3094,33.41952165481577
17,1761,3950,44.58227848101266
18,1408,3735,37.697456492637215
19,1644,3925,41.88535031847134
20,1814,4154,43.66875300914781
21,1260,3291,38.28623518687329
22,1750,3999,43.76094023505877
23,1067,2974,35.87760591795561
24,1159,2975,38.957983193277315
25,895,2679,33.407988055244495
26,955,3469,27.529547420005766
27,914,2841,32.17177050334389
28,1469,3437,42.74076229269712
29,1548,3763,41.137390380015944
30,1550,3805,40.73587385019711
31,996,3133,31.790616022981165
32,1617,3741,43.22373696872494
33,2214,4568,48.467600700525395
34,1367,3493,39.13541368451188
35,1225,3369,36.36093796378748
36,2054,4311,47.64555787520297
37,821,2592,31.674382716049383
38,1422,3451,41.20544769631991
39,1829,4135,44.232164449818626
40,1577,3620,43.56353591160221
41,1654,3930,42.08651399491094
42,1459,3656,39.90700218818381
43,1758,3816,46.069182389937104
44,1757,3834,45.82681272822118
45,1975,4485,44.03567447045708
46,953,2855,33.3800350262697
47,1470,3794,38.74538745387454
48,953,2785,34.21903052064632
49,1878,4147,45.285748734024594
50,2677,5253,50.961355415952795
51,1294,3469,37.30181608532718
52,1031,3126,32.981445937300066
53,1009,3079,32.770379993504385
54,921,2759,33.38166002174701
55,2258,4546,49.670039595248575
56,1361,3689,36.89346706424505
57,1131,3291,34.36645396536007
58,1007,2986,33.72404554588078
59,1659,3881,42.746714764236025
60,1917,4496,42.637900355871885
61,1843,4102,44.92930277913213
62,1386,3672,37.745098039215684
63,973,2960,32.87162162162162
64,1225,3628,33.7651598676957
65,1332,3321,40.10840108401084
66,1080,3242,33.312769895126465
67,926,3102,29.851708575112827
68,1510,3759,40.170258047353016
69,1134,3090,36.699029126213595
70,1101,3107,35.43611200514966
71,888,2947,30.13233797081778
72,1825,4244,43.001885014137606
73,1141,3421,33.35282081262789
74,784,2787,28.130606386795836
75,1396,3445,40.522496371552975
76,1276,3300,38.666666666666664
77,793,2814,28.18052594171997
78,1092,3103,35.19174991943281
79,1510,3596,41.99110122358176
80,1347,3603,37.385512073272274
81,1024,3297,31.05853806490749
82,861,2997,28.72872872872873
83,1767,3964,44.576185671039354
84,1325,3434,38.58474082702388
85,1726,4155,41.54031287605295
86,981,3175,30.89763779527559
87,741,2531,29.27696562623469
88,1142,3339,34.20185684336628
89,1402,3802,36.875328774329304
90,1167,3357,34.763181411974976
91,1171,3417,34.26982733391864
92,1605,3841,41.78599323092945
93,1452,3442,42.184776292852995
94,933,3162,29.506641366223906
95,820,2531,32.39826155669696
96,1190,3366,35.35353535353536
97,1642,3596,45.66184649610678
98,1215,3450,35.21739130434783
99,980,2984,32.84182305630027
100,1875,3950,47.46835443037975
101,795,2647,30.03400075557235
102,1478,3820,38.69109947643979
103,1697,3699,45.87726412543931
104,1637,3751,43.64169554785391
105,1613,3788,42.581837381203805
106,1600,4118,38.853812530354546
107,1784,4153,42.9568986274982
108,645,2722,23.69581190301249
109,1072,2909,36.851151598487455
110,1760,4074,43.20078546882671
111,981,2928,33.50409836065574
112,1692,4315,39.21205098493627
113,1073,3147,34.095964410549726
114,1791,3876,46.20743034055727
